trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.1, 'e': 0.1808657926171221}",25,0,19.711023585628805,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.1, 'e': 0.17906614791149322}",25,6,1.9724898057976552,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.1, 'e': 0.17728440996987782}",30,0,-10.145414642370802,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
175,False,"{'a': 0.1, 'e': 0.17552040061699686}",35,13,30.97086906071133,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.1, 'e': 0.17377394345044514}",25,12,10.459629917663346,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.1, 'e': 0.17204486382305054}",35,11,9.389256157010733,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.1, 'e': 0.17033298882540943}",20,9,19.279479815152044,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.1, 'e': 0.1686381472685955}",20,12,14.544713480203377,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.1, 'e': 0.1669601696670407}",20,0,35.728290240972505,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.1, 'e': 0.16529888822158653}",25,10,23.376985112997414,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.1, 'e': 0.16365413680270405}",25,8,30.161355567095903,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
